index,sic3,yr,ldsal,lemp,ldnpt,ldrst,ldrnd,ldinv,Wage
26,384,88,3.066361,-1.546463,.7969988,1.7168781,.72780532,-.50403929,28.875
27,372,78,4.3277612,.095310196,2.078321,2.406163,-.37797749,-.064737499,21.875
27,372,83,3.8095951,-.63487828,2.6282451,1.8223211,-.42706919,.61982149,23.625
28,367,78,5.1466231,1.891906,3.763211,3.4962831,2.8817739,3.57899,21.875
28,367,83,6.3752542,2.5700901,5.5015159,5.337081,4.7360902,4.8785229,23.625
28,367,88,7.0189271,2.695775,6.236526,6.680202,5.3047652,4.8637409,28.875
29,355,88,5.1618629,.68511498,4.1060138,4.2720728,2.6250191,2.642179,28.875
30,306,73,4.3424759,.53062832,3.5210919,1.597405,-1.086372,1.11989,18.375
31,281,73,7.0455179,2.332144,6.9166632,4.6017332,3.0084591,5.0662951,18.375
31,281,78,7.4004192,2.660259,7.3790679,5.1069069,3.6191249,5.69803,21.875
31,281,83,7.423336,3.1527359,7.8066459,5.3671718,3.804986,5.5241709,23.625
31,281,88,7.7417092,2.587764,7.7857618,5.6799769,4.2394409,6.0390239,28.875
32,281,73,7.426383,2.6285739,6.9307032,5.2621908,3.101733,4.2684302,18.375
33,282,73,7.442142,2.976397,6.9993019,4.893425,3.43819,4.6549759,18.375
33,282,78,7.2066031,2.730464,6.9400449,5.209486,3.617718,4.1477199,21.875
34,225,78,3.8912749,.35977009,2.866966,-.25857961,-.41700691,.26236421,21.875
34,225,83,3.8965931,.47187689,3.0169699,.53329122,-1.260668,.76383412,23.625
34,225,88,3.8314321,.20130689,3.3369181,.46791211,-1.400893,.45973709,28.875
35,222,78,5.9666481,1.893564,5.4382811,3.9155841,2.316262,3.2298601,21.875
36,222,88,6.097156,1.733247,5.2117739,3.9985449,2.5068071,4.0431371,28.875
37,284,73,6.1248188,1.029619,3.824533,2.8568211,1.334482,1.76748,18.375
37,284,78,5.6587262,.95551139,3.543077,2.80285,1.0261,1.980487,21.875
38,283,73,4.829011,.33647221,3.2745659,3.6368439,2.207571,2.4780591,18.375
39,367,83,2.3610821,-1.958995,1.154659,.064974301,-.60183322,-.072778597,23.625
40,363,73,7.3007641,2.934761,6.714757,4.565021,2.716552,4.3692279,18.375
40,363,83,7.7898312,3.602777,6.390799,4.9723101,3.7722819,4.0118728,23.625
41,393,83,3.0457101,-.69314718,1.952284,1.1326571,-.44973791,-1.6541671,23.625
42,283,73,3.972966,-.3024573,3.0237479,2.8469379,1.5774029,2.1261029,18.375
42,283,78,4.7368379,.32497779,3.564728,3.3328869,1.89671,2.406811,21.875
43,283,88,-.2439079,-3.1941831,.3074275,.3130815,.083381601,-.55186367,28.875
44,280,73,8.38554,3.5153289,8.0294256,6.3570552,4.2602139,6.1265659,18.375
44,280,78,8.4960594,3.46508,8.5156803,6.2982311,4.5499172,6.6191568,21.875
44,280,83,9.255332,4.7685642,8.4531965,6.6980162,5.7524481,6.4256749,23.625
45,372,73,8.3634806,3.5153289,8.0430021,6.2692661,4.2602139,6.1265659,18.375
45,372,78,8.6064177,3.46508,8.4886742,6.2584848,4.5499172,6.6191568,21.875
45,372,83,9.241313,4.7685642,8.4531965,6.686954,5.7524481,6.4256749,23.625
45,372,88,9.4104681,4.6963811,8.153389,7.4699268,5.9938769,6.372642,28.875
46,358,73,4.5862961,.51879382,3.830528,1.396787,-.46508959,.90481073,18.375
47,356,78,7.9179811,3.3628719,6.6174412,6.151401,4.5836282,5.4419589,21.875
47,356,83,7.23806,2.850996,6.3726721,6.2236829,4.141222,2.66325,23.625
48,367,78,2.943243,-.64435709,1.873867,.99928093,-.0384342,.59850842,21.875
48,367,83,4.103282,.2334899,3.4077539,2.614646,1.616388,1.6047471,23.625
49,399,88,2.9492691,-1.130103,2.1848259,1.1099139,.2248812,1.110538,28.875
50,357,83,3.2447939,-.9162907,1.098951,2.478765,1.5163749,.60047847,23.625
50,357,88,4.093564,-1.07881,.78420359,3.1441791,1.395671,.29446831,28.875
51,204,73,2.6815701,-1.108663,1.0641119,1.222667,-.1119503,-.54361552,18.375
51,204,83,3.691802,-1.108663,2.105052,1.243561,-.9095642,.36356881,23.625
52,365,73,3.9636281,.6360476,2.7085459,2.844692,1.375149,.1975076,18.375
52,365,78,3.605408,0,2.1227081,2.680918,.098286301,-.84085101,21.875
53,333,73,8.5723629,3.8822651,8.5425968,6.2848649,4.6695552,6.1888351,18.375
53,333,78,8.7513447,3.8286409,8.6713543,6.3728328,4.5303049,6.257267,21.875
53,333,83,8.6865606,3.666122,8.8325787,6.3993049,4.4627609,6.0212798,23.625
53,333,88,8.9136028,4.077538,9.1528578,6.6106472,5.0859852,6.7259388,28.875
54,283,83,3.2214341,-1.117795,3.1111391,4.3391371,2.415833,.60047847,23.625
54,283,88,4.2418141,-.43850499,4.2514091,4.5812192,3.346525,3.312912,28.875
55,333,83,7.8543782,2.6318891,8.594533,5.3378692,3.1083779,4.8382339,23.625
56,371,73,5.982008,1.779855,4.9309149,4.5353971,2.7142711,2.6454179,18.375
57,357,78,4.2425361,1.071584,4.222991,4.684895,3.6952929,4.3848958,21.875
57,357,83,5.949769,1.8870699,5.4945512,5.8026018,4.7399611,5.076045,23.625
57,357,88,7.6460838,2.097281,5.594595,6.5048151,5.3637428,5.6908331,28.875
58,211,78,9.1014538,3.9985681,7.0147538,5.1178398,3.3302121,5.016746,21.875
58,211,83,8.7589903,4.3148179,7.1265082,5.0982928,2.972863,4.9344521,23.625
58,211,88,8.7626867,3.8897769,7.1065178,4.9502311,2.850399,5.4332461,28.875
